source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,samp_collect_device,deployment_date,collection_date,arms_unit_id,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,rep_check,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON HCMR-1_2_20241219_20251022_blank,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction blankum,256318,metagenome,metagenome,cotton swab [OBI:0002821],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_2,EMOBON HCMR-1_2_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,blank_1,blank,,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_150
EMOBON HCMR-1_3_20241219_20251022_SF_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_3,EMOBON HCMR-1_3_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,1,SF,,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-10-24 00:00:00,2025-10-24 00:00:00,-20,2025-12-02 00:00:00,2025-04-12 00:00:00,batch_7,,,,EMOBON_HCMR-1_Ha_151
EMOBON HCMR-1_3_20241219_20251022_MF90_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction MF90um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_3,EMOBON HCMR-1_3_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,1,MF,90,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-10-24 00:00:00,2025-10-24 00:00:00,-20,2025-12-02 00:00:00,2025-04-12 00:00:00,batch_7,,,,EMOBON_HCMR-1_Ha_152
EMOBON HCMR-1_3_20241219_20251022_MF500_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_3,EMOBON HCMR-1_3_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,1,MF,500,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-10-24 00:00:00,2025-10-24 00:00:00,-20,2025-12-02 00:00:00,2025-04-12 00:00:00,batch_7,,,,EMOBON_HCMR-1_Ha_153
EMOBON HCMR-1_3_20241219_20251022_SF_2,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_3,EMOBON HCMR-1_3_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,2,SF,,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_154
EMOBON HCMR-1_3_20241219_20251022_blank,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction blankum,256318,metagenome,metagenome,cotton swab [OBI:0002821],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_3,EMOBON HCMR-1_3_Ha_20241219_20251022,Yes,DESS,Thanos Dailianis,,21,,blank_1,blank,,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_155
EMOBON HCMR-1_1_20241219_20251022_SF_3,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_1,EMOBON HCMR-1_1_Ha_20241219_20251022,Yes,96% ethanol,Thanos Dailianis,,21,,3,SF,,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_156
EMOBON HCMR-1_1_20241219_20251022_MF90_2,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction MF90um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_1,EMOBON HCMR-1_1_Ha_20241219_20251022,Yes,96% ethanol,Thanos Dailianis,,21,,2,MF,90,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_157
EMOBON HCMR-1_1_20241219_20251022_MF500_2,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_1,EMOBON HCMR-1_1_Ha_20241219_20251022,Yes,96% ethanol,Thanos Dailianis,,21,,2,MF,500,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_158
EMOBON HCMR-1_1_20241219_20251022_MF2_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2024-12-19 collected on 2025-10-22. Size fraction MF2um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 2 milimetre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2024-12-19 00:00:00,2025-10-22 00:00:00,HCMR-1_1,EMOBON HCMR-1_1_Ha_20241219_20251022,Yes,96% ethanol,Thanos Dailianis,,21,,1,MF,2,,ARMS Handbook v3.1,,2025-10-22 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_159
